subid,stage,congruency,RT
1,baseline,congruent,0.515406
1,baseline,incongruent,0.680337
1,adapt,congruent,0.547776
1,adapt,incongruent,0.543771
2,baseline,congruent,0.482852021
2,baseline,incongruent,0.55731209
2,adapt,congruent,0.568278105
2,adapt,incongruent,0.56519007
3,baseline,congruent,0.666836012
3,baseline,incongruent,0.665284083
3,adapt,congruent,0.566884621
3,adapt,incongruent,0.604590583
4,baseline,congruent,0.46802983
4,baseline,incongruent,0.507395578
4,adapt,congruent,0.723061641
4,adapt,incongruent,0.762766572
5,baseline,congruent,0.619421
5,baseline,incongruent,0.720234
5,adapt,congruent,1.073499152
5,adapt,incongruent,1.271202948
6,baseline,congruent,0.555408888
6,baseline,incongruent,0.58406445
6,adapt,congruent,0.754441581
6,adapt,incongruent,0.701049083
7,baseline,congruent,0.615446
7,baseline,incongruent,0.606803
7,adapt,congruent,0.803762709
7,adapt,incongruent,0.839997387
8,baseline,congruent,0.706527
8,baseline,incongruent,0.77128
8,adapt,congruent,0.757277
8,adapt,incongruent,0.858406
9,baseline,congruent,0.446006
9,baseline,incongruent,0.50598
9,adapt,congruent,0.498079
9,adapt,incongruent,0.548245
10,baseline,congruent,0.670321
10,baseline,incongruent,0.936499
10,adapt,congruent,0.85663558
10,adapt,incongruent,0.948523855
11,baseline,congruent,0.455341236
11,baseline,incongruent,0.46057125
11,adapt,congruent,0.657638833
11,adapt,incongruent,0.65191725
12,baseline,congruent,0.591779
12,baseline,incongruent,0.654212
12,adapt,congruent,0.758631157
12,adapt,incongruent,0.785101752
13,baseline,congruent,0.667799777
13,baseline,incongruent,0.629659337
13,adapt,congruent,0.821021
13,adapt,incongruent,0.795985
14,baseline,congruent,0.364663596
14,baseline,incongruent,0.365318758
14,adapt,congruent,0.517342278
14,adapt,incongruent,0.463913561
15,baseline,congruent,0.820784
15,baseline,incongruent,1.126637
15,adapt,congruent,0.845404765
15,adapt,incongruent,0.878085494
16,baseline,congruent,0.663241
16,baseline,incongruent,0.827861
16,adapt,congruent,0.487578217
16,adapt,incongruent,0.502420158
17,baseline,congruent,0.50473
17,baseline,incongruent,0.508623
17,adapt,congruent,0.572623996
17,adapt,incongruent,0.597402629
18,baseline,congruent,0.690543
18,baseline,incongruent,0.828821
18,adapt,congruent,0.758537358
18,adapt,incongruent,0.817687446
19,baseline,congruent,0.494663033
19,baseline,incongruent,0.56574781
19,adapt,congruent,0.527184504
19,adapt,incongruent,0.538990654
20,baseline,congruent,0.749185
20,baseline,incongruent,0.984954
20,adapt,congruent,0.837738671
20,adapt,incongruent,0.887692038
21,baseline,congruent,0.688567
21,baseline,incongruent,0.817809
21,adapt,congruent,0.743623992
21,adapt,incongruent,0.780054961
22,baseline,congruent,0.75063
22,baseline,incongruent,0.961943
22,adapt,congruent,0.900006337
22,adapt,incongruent,0.868310769
23,baseline,congruent,0.716726
23,baseline,incongruent,0.732099
23,adapt,congruent,0.792573529
23,adapt,incongruent,0.774755033
24,baseline,congruent,0.809623
24,baseline,incongruent,0.854822
24,adapt,congruent,0.659609614
24,adapt,incongruent,0.822102909
25,baseline,congruent,0.801506
25,baseline,incongruent,0.856422
25,adapt,congruent,1.206321
25,adapt,incongruent,1.040556
26,baseline,congruent,0.47875
26,baseline,incongruent,0.613183
26,adapt,congruent,0.53846655
26,adapt,incongruent,0.559441304
27,baseline,congruent,0.653512
27,baseline,incongruent,0.919918
27,adapt,congruent,0.940305654
27,adapt,incongruent,0.960111364
28,baseline,congruent,0.517224
28,baseline,incongruent,0.726641
28,adapt,congruent,0.547776
28,adapt,incongruent,0.543771
29,baseline,congruent,0.452335
29,baseline,incongruent,0.48825
29,adapt,congruent,0.507728571
29,adapt,incongruent,0.568820777
30,baseline,congruent,0.496149
30,baseline,incongruent,0.680337
30,adapt,congruent,0.460435442
30,adapt,incongruent,0.4890139
31,baseline,congruent,0.617601837
31,baseline,incongruent,0.557622192
31,adapt,congruent,0.519864246
31,adapt,incongruent,0.530451888
32,baseline,congruent,0.598746923
32,baseline,incongruent,0.610452435
32,adapt,congruent,0.560472576
32,adapt,incongruent,0.546612746
33,baseline,congruent,0.737415241
33,baseline,incongruent,0.827031653
33,adapt,congruent,0.66542736
33,adapt,incongruent,0.627396766
34,baseline,congruent,0.566138319
34,baseline,incongruent,0.50547735
34,adapt,congruent,0.83802845
34,adapt,incongruent,0.7910523
35,baseline,congruent,0.708971087
35,baseline,incongruent,0.765876861
35,adapt,congruent,0.636905848
35,adapt,incongruent,0.640170938
36,baseline,congruent,0.725109059
36,baseline,incongruent,0.904779664
36,adapt,congruent,0.701654833
36,adapt,incongruent,0.683923329
